name,price,description,stock,categoryId,serialNumber
لپتاپ گیمینگ,2500000,لپتاپ گیمینگ با کارت گرافیک RTX 3060,10,1,LAPTOP-GAMING-001
موبایل هوشمند,1800000,گوشی هوشمند با دوربین 108MP,15,2,MOBILE-001
هدفون بی‌سیم,450000,هدفون بلوتوث با کیفیت بالا,25,3,HEADPHONE-001
تبلت 10 اینچ,1200000,تبلت با صفحه نمایش Full HD,8,1,TABLET-001
کیبورد مکانیکی,350000,کیبورد گیمینگ با سوئیچ Blue,30,3,KEYBOARD-001
ماوس گیمینگ,280000,ماوس گیمینگ با DPI قابل تنظیم,20,3,MOUSE-001
مانیتور 27 اینچ,3200000,مانیتور 4K با نرخ تازه‌سازی 144Hz,5,1,MONITOR-001
اسپیکر بلوتوث,180000,اسپیکر قابل حمل با کیفیت بالا,12,3,SPEAKER-001
هارد اکسترنال,450000,هارد 1 ترابایت با سرعت بالا,18,1,HDD-001
فلش مموری,120000,فلش 64 گیگابایت USB 3.0,30,1,FLASH-001
